issue_description,category,priority
Large pothole causing traffic slowdown near bridge,road,high
Broken road surface damaging vehicles daily,road,medium
Road construction debris blocking traffic lane,road,medium
Damaged traffic signal causing confusion at junction,road,high
Street flooded after heavy rain due to clogged drain,water,high
Water supply stopped unexpectedly in residential block,water,high
Low water pressure reported in apartment complex,water,medium
Sewage water overflowing near shopping area,water,high
Frequent short circuits reported in local transformer,power,high
Streetlight completely not functioning in area,power,medium
Electric wire exposed near roadside posing danger,power,high
Power outage affecting industrial area operations,power,high
Garbage bins overflowing in residential colony,garbage,medium
Waste not collected for several days in locality,garbage,medium
Illegal dumping of waste near playground,garbage,medium
Burning garbage creating air pollution near houses,garbage,high
Broken pedestrian crossing signals causing safety risk,road,medium
Large cracks appearing on main highway stretch,road,high
Water tanker leakage causing slippery road surface,water,medium
Drainage blockage causing foul smell across street,water,medium
Voltage fluctuations damaging household appliances,power,medium
Electric pole leaning dangerously after storm,power,high
Garbage scattered across bus stop area,garbage,medium
Open garbage dump attracting stray animals,garbage,medium
Damaged roadside barrier creating accident risk,road,medium
Uncovered drainage hole causing accident risk,road,high
Water stagnation causing mosquito breeding,water,high
Frequent transformer overheating causing shutdown,power,high
Garbage collection vehicle not arriving regularly,garbage,medium
Collapsed road edge creating driving hazard,road,high
Flooded underpass creating heavy traffic congestion,water,high
Loose electric cables hanging across road,power,high
Waste dumping near lake polluting water body,garbage,high
Road surface sinking near construction zone,road,high
Water leakage from municipal pipeline continuing for days,water,high
Electric meter boxes damaged causing sparks,power,high
Garbage spreading across roadside after rain,garbage,medium
Broken speed breaker causing sudden accidents,road,medium
Drain overflow entering residential houses,water,high
Streetlights turning off intermittently at night,power,medium
